,return_curr
0,0.008288383107485808
1,-0.020575595780700784
2,-0.020575595780700784
3,-0.041140529531568326
4,0.009972078181093023
5,-0.041140529531568326
6,-0.041140529531568326
7,-0.01092680358083198
8,0.011047517636097348
9,0.0019466073414906586
10,-0.016719325961032094
11,-0.03106880796766555
12,-0.01966292134831471
13,0.014705882352941124
14,0.003137665054255612
15,-0.02079722703639497
16,0.0019021739130435922
17,-0.0281818181818182
18,-0.00967741935483879
19,-0.0018844221105526195
20,-0.04475457170356112
21,0.02366268093140333
22,-0.002827984753473568
23,-0.09090909090909094
24,0.013559322033898313
25,0.006904906117504607
26,0.0027694160144491327
27,-0.015247776365946653
28,-0.04489795918367345
29,0.0026988969725416645
30,-0.007779349363507881
31,-0.021521906225979937
32,-0.021521906225979937
33,0.012494219501209472
34,-0.00030293850348372947
35,-0.009999999999999898
36,-0.005494505494505475
37,-0.01623169955442394
38,0.05597014925373145
39,-0.009654870793229613
40,0.05597014925373145
41,0.01467231822627979
42,-0.007554862693368468
43,0.03629032258064502
44,0.010593298277195387
45,-0.0040347841259139785
46,-0.06846108835576359
47,0.001970471757788065
48,0.03015075376884413
49,0.014588529712364797
50,0.018902439024390368
51,0.014588529712364797
52,0.014588529712364797
53,0.018902439024390368
54,0.018902439024390368
55,0.018902439024390368
56,0.031811032910963516
57,0.031811032910963516
58,0.006749156355455366
59,-0.0005608524957935179
60,-0.017391168255733485
61,-0.026927784577723383
62,-0.026927784577723383
63,-0.026927784577723383
64,-0.026927784577723383
65,-0.026927784577723383
66,-0.06972361809045224
67,-0.06972361809045224
68,0.014131897711978425
69,0.014131897711978425
70,0.014131897711978425
71,0.014131897711978425
72,0.014131897711978425
73,0.014131897711978425
74,0.014131897711978425
75,0.014131897711978425
76,0.029197080291970767
77,-0.002578981302385541
78,-0.002578981302385541
79,-0.002578981302385541
80,-0.002578981302385541
81,-0.00015919438475066788
82,-0.010342598577892659
83,0.0033898305084745233
84,0.02756183745583041
85,0.061557788944723635
86,0.02493241213577635
87,0.0073270808909731144
88,-0.0029095141111432628
89,0.08493490390576564
90,0.03390804597701158
91,-0.003958258366318801
92,0.002767648066826723
93,0.004931506849314982
94,0.05616139585605251
95,-0.004125830990443042
96,0.015574493094328457
97,0.008415554265815306
98,0.015739838385664142
99,0.00022372995898131288
100,-0.019305019305019155
101,-0.019305019305019155
102,-0.019305019305019155
103,-0.0008915723678441909
104,0.023359288097886344
105,-0.009095115477942062
106,0.04021739130434798
107,0.05851619644723094
108,0.0020257010350512067
109,0.0020257010350512067
110,0.05851619644723094
111,0.012000000000000007
112,0.012000000000000007
113,0.012000000000000007
114,0.012000000000000007
115,0.020473005145663508
116,0.1151433350170482
117,-0.01388539622144274
118,-0.0163018164881229
119,-0.0163018164881229
120,0.01672499362659901
121,0.01672499362659901
122,-0.05026235846451255
123,-0.004202695742380287
124,0.002077996607957409
125,-0.009548934618595377
126,-0.009548934618595377
127,-0.009548934618595377
128,0.004682470002926431
129,0.024194229642812464
130,-0.013527133568077412
131,-0.013527133568077412
132,-0.013527133568077412
133,0.015746858259726042
134,0.015746858259726042
135,0.027242610833082468
136,0.027242610833082468
137,0.027242610833082468
138,0.027242610833082468
139,-0.014297423960012991
140,-0.014297423960012991
141,0.0083642247999194
142,0.010210714127208706
143,0.010210714127208706
144,-0.005111244738424392
145,0.0026107361663066137
146,-0.006931219393183689
147,-0.0012578616352201255
148,-0.006931219393183689
149,-0.0012171889316193733
150,-0.0012171889316193733
151,0.04016570568619734
152,0.04016570568619734
153,0.059084938036492875
154,0.059084938036492875
155,0.059084938036492875
156,0.2798264642082429
157,0.012180146477358116
158,0.012180146477358116
159,0.012180146477358116
160,0.012180146477358116
161,-0.10288065843621397
162,0.03967421989514398
163,0.03967421989514398
164,0.03967421989514398
165,0.03967421989514398
166,0.04369250985545325
167,0.016141259113791113
168,-0.24875000000000005
169,0.016141259113791113
170,0.016141259113791113
171,0.016141259113791113
172,0.016141259113791113
173,0.016141259113791113
174,0.016141259113791113
175,0.016141259113791113
176,0.016141259113791113
177,-0.025160102899074173
178,-0.025160102899074173
179,-0.025160102899074173
180,-0.025160102899074173
181,-0.025160102899074173
182,-0.025160102899074173
183,-0.025160102899074173
184,-0.025160102899074173
185,-0.025160102899074173
186,-0.025160102899074173
187,0.041301858441125716
188,0.041301858441125716
189,0.041301858441125716
190,0.041301858441125716
191,0.005915346232124689
192,0.005915346232124689
193,0.005915346232124689
194,0.005915346232124689
195,0.005915346232124689
196,0.005915346232124689
197,0.005915346232124689
198,0.005915346232124689
199,0.005915346232124689
200,0.1369257950530034
201,0.003111791970270276
202,0.003111791970270276
203,0.003111791970270276
204,0.003111791970270276
205,0.003111791970270276
206,0.003111791970270276
207,0.003111791970270276
208,-0.0958639218470386
209,-0.0958639218470386
210,-0.0958639218470386
